keyword,position,prev_position,search_volume,keyword_difficulty,cpc,url,traffic,traffic_pct,traffic_cost,competition,serp_features,keyword_intents,position_type
pure encapsulations,8,8,90500,52,1.29,https://pureforyou.com/,1991,5.93,2568,1,"Sitelinks, Video, People also ask, Related searches",commercial,Organic
pure encapsulations magnesium glycinate,2,2,18100,26,1.13,https://smartq.pureforyou.com/products/39410161811490/magnesium-glycinate,1484,4.42,1676,1,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
pure encapsulations pure encapsulations,5,5,22200,44,1.17,https://pureforyou.com/,777,2.31,909,1,"Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
pure encapsulations carbcrave complex 90 capsules,2,0,3600,9,0,https://smartq.pureforyou.com/products/33055559319586/carbcrave-complex-90,475,1.41,0,0,"Knowledge panel, Sitelinks, Related searches",informational,Organic
magnesium glycinate,26,32,673000,52,0.77,https://smartq.pureforyou.com/products/39410161811490/magnesium-glycinate,471,1.4,362,1,"Sitelinks, Video, People also ask, Related searches, Things to know, AI overview",informational,Organic
pure magnesium glycinate,2,2,6600,25,1.14,https://smartq.pureforyou.com/products/39410161811490/magnesium-glycinate,429,1.27,489,1,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
pure encapsulations o.n.e. multivitamin,2,2,2900,28,0.58,https://smartq.pureforyou.com/products/39251840991266/o-n-e-multivitamin,382,1.13,221,1,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,Organic
pure,6,6,60500,90,1.74,https://pureforyou.com/,363,1.08,631,0.39,"Knowledge panel, Local pack, Sitelinks, Video, People also ask, AI overview",informational,Organic
panax ginseng,8,8,14800,59,0.53,https://smartq.pureforyou.com/products/32040779776034/panax-ginseng,355,1.05,188,1,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,Organic
l tyrosine tyrosine,5,5,14800,52,1.46,https://smartq.pureforyou.com/products/33055632228386/l-tyrosine,355,1.05,518,0.95,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
prenatus,1,1,5400,42,5.84,https://smartq.pureforyou.com/products/40638309761058/prenatal-nutrients,328,0.97,1915,0.97,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
pure encapsulations vitamin d3,1,2,1300,30,0.83,https://smartq.pureforyou.com/products/39406546288674/vitamin-d3,322,0.95,267,1,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
