url,traffic_pct,keywords,traffic,traffic_change,answer_engines,top_keyword,primary_intent,llm_prompts
https://pureforyou.com/,14.62,683,4910,-2491,"gemini, google, google-ai, search-gpt",pure encapsulations,Informational,26
https://smartq.pureforyou.com/products/39410161811490/magnesium-glycinate,13.55,572,4551,1013,google,pure encapsulations magnesium glycinate,Informational,24
https://smartq.pureforyou.com/products/39251840991266/o-n-e-multivitamin,6.02,131,2024,247,google,pure encapsulations o.n.e. multivitamin,Informational,7
https://smartq.pureforyou.com/products/39406461747234/b-complex-plus,3.63,104,1219,82,"google, google-ai",pure encapsulations b-complex plus,Informational,7
https://smartq.pureforyou.com/products/40638309761058/prenatal-nutrients,2.63,57,884,677,"gemini, google, google-ai",prenatus,Informational,4
https://smartq.pureforyou.com/products/33055632228386/l-tyrosine,2.27,24,763,417,google,l tyrosine tyrosine,Informational,5
https://smartq.pureforyou.com/products/39406546288674/vitamin-d3,2.21,40,745,189,google,pure encapsulations vitamin d3,Informational,1
https://smartq.pureforyou.com/products/33055633408034/l-glutamine-powder,2,46,672,563,google,l glutamine powder,Informational,6
https://smartq.pureforyou.com/products/43700732919842/dao-enzyme,1.83,50,616,-20,google,dao supplement,Informational,7
https://smartq.pureforyou.com/products/33055646777378/dgl-plus-60,1.57,39,528,-8,"google, google-ai",dgl,Informational,6
https://smartq.pureforyou.com/products/32040736817186/digestive-enzymes-ultra,1.56,66,526,202,google,pure encapsulations digestive enzymes,Informational,4
https://smartq.pureforyou.com/products/33055559319586/carbcrave-complex-90,1.41,6,475,475,,pure encapsulations carbcrave complex 90 capsules,Informational,0
https://smartq.pureforyou.com/products/32040779776034/panax-ginseng,1.11,5,374,373,,panax ginseng,Informational,0
https://smartq.pureforyou.com/products/32040791375906/thyroid-support-complex,1.1,183,371,47,"google, search-gpt",thyroid support,Informational,9
https://smartq.pureforyou.com/products/33055608307746/magnesium-glycinate-liquid,1.06,59,357,161,google,magnesium glycinate liquid,Informational,10
https://smartq.pureforyou.com/products/33055636029474/hyaluronic-acid-60,1.03,72,346,256,"gemini, google, google-ai",hyaluronic acid supplements,Informational,13
https://smartq.pureforyou.com/products/32040753659938/magnesium-citrate,1.02,101,343,-61,"google, google-ai",magnesium citrate capsules,Informational,3
https://smartq.pureforyou.com/products/39400274690082/hm-complex,0.97,5,328,328,,pure encapsulations hm complex 90 capsules,Informational,0
https://smartq.pureforyou.com/products/33055646941218/copper-glycinate,0.89,26,300,279,"google, google-ai",copper supplement,Informational,2
https://smartq.pureforyou.com/products/33055606439970/magnesium-powder,0.86,66,291,143,google,magnesium citrate powder,Informational,6
https://smartq.pureforyou.com/products/33055612108834/macular-support-formula-60,0.84,13,284,245,google-ai,pure encapsulations macular support formula 60 capsules,Informational,1
https://smartq.pureforyou.com/products/43591436894242/vitamin-d3-k2,0.81,119,273,-62,"gemini, google, google-ai, search-gpt",pure encapsulations d3 k2,Informational,8
https://smartq.pureforyou.com/products/33055655788578/b-complex-liquid,0.8,68,269,-158,"google, google-ai",liquid b complex,Informational,10
https://smartq.pureforyou.com/products/33055587205154/peptic-care-zinc-l-carnosine,0.77,39,259,142,google,zinc carnosine,Informational,11
https://smartq.pureforyou.com/products/33055656804386/amino-replete,0.75,16,255,215,gemini,pure amino,Informational,1
https://smartq.pureforyou.com/products/33055629115426/liposomal-glutathione-liquid,0.74,43,251,-89,google,glutathione liquid form,Informational,6
https://smartq.pureforyou.com/products/32040751693858/liposomal-vitamin-c,0.74,96,249,16,google,liposomal vitamin c liquid,Informational,6
https://smartq.pureforyou.com/products/33055634260002/l-arginine,0.71,27,240,192,google-ai,l-arginine dietary supplement,Informational,3
https://smartq.pureforyou.com/products/33055630295074/liposomal-glutathione-30,0.67,86,227,-612,google,liposomal glutathione,Informational,8
https://smartq.pureforyou.com/products/39354440515618/nac-600-mg-90-capsules,0.65,60,220,79,google,nac 600mg,Informational,14
https://smartq.pureforyou.com/products/32931091349538/one-omega,0.62,72,211,-77,google,pure encapsulations omega 3,Informational,4
https://smartq.pureforyou.com/products/39382136717346/amino-nr-1,0.59,3,200,198,,pure amino,"Commercial, Informational",0
https://smartq.pureforyou.com/products/41066154983458/berberine-ultrasorb,0.56,18,191,-24,"gemini, google, google-ai",pure berberine,Informational,7
https://smartq.pureforyou.com/products/33055646318626/dhea-25-mg-60,0.56,23,191,-115,google,pure encapsulations dhea,Informational,2
https://smartq.pureforyou.com/products/32040795439138/zinc-30,0.55,29,187,-16,google,pure encapsulations zinc,Informational,1
https://smartq.pureforyou.com/products/39354424459298/iron-c,0.55,36,187,20,google,pure encapsulations iron,Informational,3
https://smartq.pureforyou.com/collections/vitamins-minerals,0.55,57,187,-44,"gemini, google, google-ai",pure vitamin,Informational,13
https://smartq.pureforyou.com/products/39741657153570/mens-nutrients-180,0.52,21,177,-25,"google-ai, search-gpt",pure encapsulations men's nutrients,Informational,4
https://smartq.pureforyou.com/products/39406543536162/calcium-citrate,0.51,36,172,55,,pure encapsulations calcium citrate,Informational,0
https://smartq.pureforyou.com/products/33055557615650/vitamin-c-chewables,0.46,51,155,68,google,vitamin c chewables,Informational,2
https://smartq.pureforyou.com/products/32040780267554/potassium-citrate,0.46,8,155,155,,potassium citrate,Informational,0
https://smartq.pureforyou.com/products/33055654182946/buffered-ascorbic-acid-powder-8,0.42,40,144,85,google,pure encapsulations - buffered ascorbic acid,Informational,2
https://smartq.pureforyou.com/products/44341136982050/pure-creatine,0.42,18,144,72,google,creatine pure,"Commercial, Informational",2
https://smartq.pureforyou.com/products/32040776990754/nac-900-mg,0.42,22,143,-61,google,pure encapsulations nac,Informational,6
https://smartq.pureforyou.com/products/33055559221282/cortisol-calm-60,0.42,26,142,37,"gemini, google, google-ai, search-gpt",cortisol calm,Informational,18
https://smartq.pureforyou.com/products/33055689211938/ashwagandha,0.42,17,142,35,google,pure encapsulations ashwagandha,Informational,1
https://smartq.pureforyou.com/products/33055586451490/polyphenol-nutrients-180,0.41,22,139,-10,google,polyphenol supplements,Informational,7
https://smartq.pureforyou.com/products/32040787968034/sr-coq10-with-pqq,0.41,23,138,65,google,pure encapsulations pqq coq10,Informational,6
